est_x,est_y,odom_x,odom_y,gt_x,gt_y,cov_x,cov_y,cov_xy,cov_yx,heading_cmd,speed_cmd,heading,speed,setpoint_x,setpoint_y,gt_heading,gt_speed,collision,step
nan,nan,0.011250000447034836,0.011250000447034836,0.011250000447034836,0.011250000447034836,nan,nan,nan,nan,0.7853981852531433,0.0530330091714859,0.7853981852531433,0.1590990275144577,0.5,0.5,0.7853981852531433,0.1590990275144577,0.0,1
nan,nan,0.03349687531590462,0.03349687531590462,0.03349687531590462,0.03349687531590462,nan,nan,nan,nan,0.7853981852531433,0.051839765161275864,0.7853981852531433,0.314618319272995,0.5,0.5,0.7853981852531433,0.314618319272995,0.0,2
nan,nan,0.06624007225036621,0.06624007225036621,0.06624007225036621,0.06624007225036621,nan,nan,nan,nan,0.7853981852531433,0.0494801290333271,0.7853981852531433,0.4630587100982666,0.5,0.5,0.7853981852531433,0.4630587100982666,0.0,3
nan,nan,0.1087428629398346,0.1087428629398346,0.1087428629398346,0.1087428629398346,nan,nan,nan,nan,0.7853981852531433,0.0460071861743927,0.7853981852531433,0.6010802984237671,0.5,0.5,0.7853981852531433,0.6010802984237671,0.0,4
nan,nan,0.1600489467382431,0.1600489467382431,0.1600489467382431,0.1600489467382431,nan,nan,nan,nan,0.7853981852531433,0.04149908572435379,0.7853981852531433,0.7255775332450867,0.5,0.5,0.7853981852531433,0.7255775332450867,0.0,5
nan,nan,0.21900393068790436,0.21900393068790436,0.21900393068790436,0.21900393068790436,nan,nan,nan,nan,0.7853981852531433,0.0360572524368763,0.7853981852531433,0.8337492942810059,0.5,0.5,0.7853981852531433,0.8337492942810059,0.0,6
nan,nan,0.28428131341934204,0.28428131341934204,0.28428131341934204,0.28428131341934204,nan,nan,nan,nan,0.7853981852531433,0.029804134741425514,0.7853981852531433,0.9231616854667664,0.5,0.5,0.7853981852531433,0.9231616854667664,0.0,7
nan,nan,0.35441237688064575,0.35441237688064575,0.35441237688064575,0.35441237688064575,nan,nan,nan,nan,0.7853981852531433,0.022880421951413155,0.7853981852531433,0.9918029308319092,0.5,0.5,0.7853981852531433,0.9918029308319092,0.0,8
nan,nan,0.42512306571006775,0.42512306571006775,0.42512306571006775,0.42512306571006775,nan,nan,nan,nan,0.7853981852531433,0.015441899187862873,0.7853981852531433,1.0,0.5,0.5,0.7853981852531433,1.0,0.0,9
nan,nan,0.49583375453948975,0.49583375453948975,0.49583375453948975,0.49583375453948975,nan,nan,nan,nan,0.7853981852531433,0.007941897958517075,0.7853981852531433,1.0,0.5,0.5,0.7853981852531433,1.0,0.0,10
