t,est_x,est_y,odom_x,odom_y,gt_x,gt_y,cov_x,cov_y,cov_xy,cov_yx,heading_cmd,speed_cmd,heading,speed,setpoint_x,setpoint_y
0.12633275985717773,nan,nan,0.0003298907249700278,0.0010611714096739888,0.0003298907249700278,0.0010611714096739888,nan,nan,nan,nan,0.7982851266860962,0.014999999664723873,0.7853981852531433,0.014941176399588585,0.5,0.5
0.6511416435241699,nan,nan,0.0017224864568561316,0.004141512326896191,0.0017224864568561316,0.004141512326896191,nan,nan,nan,nan,0.7401655316352844,0.014999999664723873,0.7330383062362671,0.014941176399588585,0.5,0.5
0.8766183853149414,nan,nan,0.04319639503955841,0.05651869997382164,0.04319639503955841,0.05651869997382164,nan,nan,nan,nan,0.8088840842247009,0.014999999664723873,0.8028514385223389,0.014941176399588585,0.5,0.5
1.0860302448272705,nan,nan,0.10997066646814346,0.12471123784780502,0.10997066646814346,0.12471123784780502,nan,nan,nan,nan,0.6704453825950623,0.014999999664723873,0.6632251143455505,0.014941176399588585,0.5,0.5
1.2968454360961914,nan,nan,0.19941331446170807,0.23026445508003235,0.19941331446170807,0.23026445508003235,nan,nan,nan,nan,0.7530736327171326,0.014999999664723873,0.7504915595054626,0.014941176399588585,0.5,0.5
1.6268589496612549,nan,nan,0.5258840322494507,0.6754473447799683,0.5258840322494507,0.6754473447799683,nan,nan,nan,nan,0.5806079506874084,0.014999999664723873,0.5759586691856384,0.014941176399588585,0.5,0.5
1.836479902267456,nan,nan,0.642518937587738,0.849389374256134,0.642518937587738,0.849389374256134,nan,nan,nan,nan,-1.9465004205703735,0.014999999664723873,-1.9547687768936157,0.014941176399588585,0.5,0.5
2.0464823246002197,nan,nan,0.7579551935195923,1.0294519662857056,0.7579551935195923,1.0294519662857056,nan,nan,nan,nan,-1.8912967443466187,0.014999999664723873,-1.9024088382720947,0.014941176399588585,0.5,0.5
2.2565298080444336,nan,nan,0.8653188943862915,1.400987982749939,0.8653188943862915,1.400987982749939,nan,nan,nan,nan,-1.9930098056793213,0.014999999664723873,-2.0071287155151367,0.014941176399588585,0.5,0.5
2.571814775466919,nan,nan,0.8183107972145081,1.6498314142227173,0.8183107972145081,1.6498314142227173,nan,nan,nan,nan,-1.9268074035644531,0.014999999664723873,-1.9373154640197754,0.014941176399588585,0.5,0.5
2.766934871673584,nan,nan,0.7356061935424805,1.7655892372131348,0.7356061935424805,1.7655892372131348,nan,nan,nan,nan,-1.7762223482131958,0.014999999664723873,-1.7802358865737915,0.014941176399588585,0.5,0.5
2.9758265018463135,nan,nan,0.6842979788780212,1.8065074682235718,0.6842979788780212,1.8065074682235718,nan,nan,nan,nan,-1.7673072814941406,0.014999999664723873,-1.7802358865737915,0.014941176399588585,0.5,0.5
3.171018362045288,nan,nan,0.733397364616394,1.7758647203445435,0.733397364616394,1.7758647203445435,nan,nan,nan,nan,-1.7681409120559692,0.014999999664723873,-1.7802358865737915,0.014941176399588585,0.5,0.5
