est_x,est_y,odom_x,odom_y,gt_x,gt_y,cov_x,cov_y,cov_xy,cov_yx,heading_cmd,speed_cmd,heading,speed,setpoint_x,setpoint_y
nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.7982851266860962,0.014999999664723873,0.7853981852531433,0.014705882407724857,0.5,0.5
nan,nan,0.00843146163970232,0.005910049192607403,0.00843146163970232,0.005910049192607403,nan,nan,nan,nan,0.7409513592720032,0.014999999664723873,0.7330383062362671,0.014705882407724857,0.5,0.5
nan,nan,0.018075959756970406,0.018456628546118736,0.018075959756970406,0.018456628546118736,nan,nan,nan,nan,0.8136216998100281,0.014999999664723873,0.8028514385223389,0.014705882407724857,0.5,0.5
nan,nan,0.029172683134675026,0.032193731516599655,0.029172683134675026,0.032193731516599655,nan,nan,nan,nan,0.6887926459312439,0.014999999664723873,0.6806784272193909,0.014705882407724857,0.5,0.5
nan,nan,0.07506976276636124,0.07468561828136444,0.07506976276636124,0.07468561828136444,nan,nan,nan,nan,0.7707108855247498,0.014999999664723873,0.767944872379303,0.014705882407724857,0.5,0.5
nan,nan,0.12684592604637146,0.13827987015247345,0.12684592604637146,0.13827987015247345,nan,nan,nan,nan,0.6913453340530396,0.014999999664723873,0.6806784272193909,0.014705882407724857,0.5,0.5
nan,nan,0.15734684467315674,0.17076043784618378,0.15734684467315674,0.17076043784618378,nan,nan,nan,nan,0.8277654051780701,0.014999999664723873,0.8203047513961792,0.014705882407724857,0.5,0.5
nan,nan,0.18921898305416107,0.20385956764221191,0.18921898305416107,0.20385956764221191,nan,nan,nan,nan,0.7163187861442566,0.014999999664723873,0.7155849933624268,0.014705882407724857,0.5,0.5
nan,nan,0.2510705292224884,0.2711459696292877,0.2510705292224884,0.2711459696292877,nan,nan,nan,nan,0.7011464238166809,0.014999999664723873,0.6981316804885864,0.014705882407724857,0.5,0.5
nan,nan,0.31141674518585205,0.3423663079738617,0.31141674518585205,0.3423663079738617,nan,nan,nan,nan,0.6961001753807068,0.014999999664723873,0.6806784272193909,0.014705882407724857,0.5,0.5
nan,nan,0.33809998631477356,0.37453439831733704,0.33809998631477356,0.37453439831733704,nan,nan,nan,nan,0.3149081766605377,0.014999999664723873,0.3141592741012573,0.014705882407724857,0.5,0.5
nan,nan,0.36204764246940613,0.4075072705745697,0.36204764246940613,0.4075072705745697,nan,nan,nan,nan,0.7594740986824036,0.014999999664723873,0.7504915595054626,0.014705882407724857,0.5,0.5
nan,nan,0.3967289626598358,0.47670650482177734,0.3967289626598358,0.47670650482177734,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.5,0.5
