est_x,est_y,odom_x,odom_y,gt_x,gt_y,cov_x,cov_y,cov_xy,cov_yx,heading_cmd,speed_cmd,heading,speed,setpoint_x,setpoint_y,gt_heading,gt_speed,collision,step
nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.03202104568481445,0.0,0.01745329238474369,0.0,0.5,0.5,0.01745329238474369,0.0,0.0,1
nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,2.16456937789917,-0.0,2.164208173751831,0.0,0.5,0.5,2.164208173751831,0.0,0.0,2
nan,nan,-0.0010471770074218512,-0.003382799681276083,-0.0010471770074218512,-0.003382799681276083,nan,nan,nan,nan,0.5075351595878601,0.0,0.5061454772949219,0.0,0.5,0.5,0.5061454772949219,0.0,0.0,3
nan,nan,-0.005258761812001467,-0.005647997837513685,-0.005258761812001467,-0.005647997837513685,nan,nan,nan,nan,1.449295997619629,0.0,1.4486232995986938,0.0,0.5,0.5,1.4486232995986938,0.0,0.0,4
nan,nan,-0.006922509521245956,-0.005757236387580633,-0.006922509521245956,-0.005757236387580633,nan,nan,nan,nan,0.9867441058158875,0.0,0.9773843884468079,0.0,0.5,0.5,0.9773843884468079,0.0,0.0,5
nan,nan,-0.006929413415491581,-0.005692603532224894,-0.006929413415491581,-0.005692603532224894,nan,nan,nan,nan,2.931381940841675,0.0,2.9146997928619385,0.0,0.5,0.5,2.9146997928619385,0.0,0.0,6
nan,nan,-0.009080538526177406,-0.004326825030148029,-0.009080538526177406,-0.004326825030148029,nan,nan,nan,nan,-1.5448638200759888,0.0,-1.5533430576324463,0.0,0.5,0.5,-1.5533430576324463,0.0,0.0,7
nan,nan,-0.01107317116111517,0.00014619118883274496,-0.01107317116111517,0.00014619118883274496,nan,nan,nan,nan,1.7768864631652832,0.0,1.7627825736999512,0.0,0.5,0.5,1.7627825736999512,0.0,0.0,8
nan,nan,-0.009072937071323395,0.0015241255750879645,-0.009072937071323395,0.0015241255750879645,nan,nan,nan,nan,2.5308051109313965,0.0,2.5307273864746094,0.0,0.5,0.5,2.5307273864746094,0.0,0.0,9
nan,nan,-0.009324849583208561,-0.0007579986704513431,-0.009324849583208561,-0.0007579986704513431,nan,nan,nan,nan,1.4526697397232056,-0.0,1.4486232995986938,0.0,0.5,0.5,1.4486232995986938,0.0,0.0,10
nan,nan,-0.011203963309526443,-0.002197160152718425,-0.011203963309526443,-0.002197160152718425,nan,nan,nan,nan,2.3742616176605225,0.0,2.373647689819336,0.0,0.5,0.5,2.373647689819336,0.0,0.0,11
nan,nan,-0.015137535519897938,-0.0004334980039857328,-0.015137535519897938,-0.0004334980039857328,nan,nan,nan,nan,-0.0038981165271252394,0.0,-0.01745329238474369,0.0,0.5,0.5,-0.01745329238474369,0.0,0.0,12
