odom_x,odom_y,heading,speed,heading_cmd,speed_cmd,step,t
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.061847519129514694,0.7928726077079773,0.061847519129514694,1,0.0
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.046385638415813446,0.7928726077079773,0.046385638415813446,2,0.00841069221496582
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.05025111138820648,0.7928726077079773,0.05025111138820648,3,0.013736724853515625
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.049284741282463074,0.7928726077079773,0.049284741282463074,4,0.017810583114624023
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.049526333808898926,0.7928726077079773,0.049526333808898926,5,0.024066686630249023
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.04946593567728996,0.7928726077079773,0.04946593567728996,6,0.028170347213745117
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.04948103427886963,0.7928726077079773,0.04948103427886963,7,0.03507828712463379
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.04947726055979729,0.7928726077079773,0.04947726055979729,8,0.0402827262878418
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.0494782030582428,0.7928726077079773,0.0494782030582428,9,0.0402827262878418
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.049477968364953995,0.7928726077079773,0.049477968364953995,10,0.047721147537231445
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.04947802796959877,0.7928726077079773,0.04947802796959877,11,0.047721147537231445
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.049478013068437576,0.7928726077079773,0.049478013068437576,12,0.05663299560546875
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.049478016793727875,0.7928726077079773,0.049478016793727875,13,0.05663299560546875
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.049478016793727875,0.7928726077079773,0.049478016793727875,14,0.05663299560546875
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.049478016793727875,0.7928726077079773,0.049478016793727875,15,0.07064270973205566
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.049478016793727875,0.7928726077079773,0.049478016793727875,16,0.07265853881835938
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.049478016793727875,0.7928726077079773,0.049478016793727875,17,0.07265853881835938
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.049478016793727875,0.7928726077079773,0.049478016793727875,18,0.08291506767272949
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.049478016793727875,0.7928726077079773,0.049478016793727875,19,0.08895492553710938
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.049478016793727875,0.7928726077079773,0.049478016793727875,20,0.09085440635681152
0.010461659170687199,0.01772553287446499,0.7928726077079773,0.049478016793727875,0.7928726077079773,0.049478016793727875,21,0.09543132781982422
