est_x,est_y,odom_x,odom_y,gt_x,gt_y,cov_x,cov_y,cov_xy,cov_yx,heading_cmd,speed_cmd,heading,speed,setpoint_x,setpoint_y
nan,nan,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,nan,nan,nan,nan,0.7853981852531433,0.007071067579090595,0.7853981852531433,0.0007071067811921239,0.5,0.5
nan,nan,0.00014999500126577914,0.00014999500126577914,0.00014999500126577914,0.00014999500126577914,nan,nan,nan,nan,0.7853981852531433,0.007070360705256462,0.7853981852531433,0.0014141428982838988,0.5,0.5
nan,nan,0.00029997501405887306,0.00029997501405887306,0.00029997501405887306,0.00029997501405887306,nan,nan,nan,nan,0.7853981852531433,0.0070689464919269085,0.7853981852531433,0.002121037570759654,0.5,0.5
nan,nan,0.0004999249940738082,0.0004999249940738082,0.0004999249940738082,0.0004999249940738082,nan,nan,nan,nan,0.7853981852531433,0.007066825404763222,0.7853981852531433,0.0028277200181037188,0.5,0.5
nan,nan,0.0007498249760828912,0.0007498249760828912,0.0007498249760828912,0.0007498249760828912,nan,nan,nan,nan,0.7853981852531433,0.007063997909426689,0.7853981852531433,0.0035341198090463877,0.5,0.5
nan,nan,0.0010496500181034207,0.0010496500181034207,0.0010496500181034207,0.0010496500181034207,nan,nan,nan,nan,0.7853981852531433,0.007060463540256023,0.7853981852531433,0.004240166395902634,0.5,0.5
nan,nan,0.0013993701431900263,0.0013993701431900263,0.0013993701431900263,0.0013993701431900263,nan,nan,nan,nan,0.7853981852531433,0.0070562236942350864,0.7853981852531433,0.004945788532495499,0.5,0.5
nan,nan,0.001798950252123177,0.001798950252123177,0.001798950252123177,0.001798950252123177,nan,nan,nan,nan,0.7853981852531433,0.007051277905702591,0.7853981852531433,0.005650916136801243,0.5,0.5
nan,nan,0.0022483505308628082,0.0022483505308628082,0.0022483505308628082,0.0022483505308628082,nan,nan,nan,nan,0.7853981852531433,0.007045626640319824,0.7853981852531433,0.006355478893965483,0.5,0.5
nan,nan,0.002747525926679373,0.002747525926679373,0.002747525926679373,0.002747525926679373,nan,nan,nan,nan,0.7853981852531433,0.007039271295070648,0.7853981852531433,0.0070594060234725475,0.5,0.5
nan,nan,0.003296426497399807,0.003296426497399807,0.003296426497399807,0.003296426497399807,nan,nan,nan,nan,0.7853981852531433,0.007032211869955063,0.7853981852531433,0.007762627210468054,0.5,0.5
nan,nan,0.003894997527822852,0.003894997527822852,0.003894997527822852,0.003894997527822852,nan,nan,nan,nan,0.7853981852531433,0.007024449296295643,0.7853981852531433,0.008465072140097618,0.5,0.5
nan,nan,0.004543179180473089,0.004543179180473089,0.004543179180473089,0.004543179180473089,nan,nan,nan,nan,0.7853981852531433,0.0070159840397536755,0.7853981852531433,0.009166670963168144,0.5,0.5
nan,nan,0.005240906495600939,0.005240906495600939,0.005240906495600939,0.005240906495600939,nan,nan,nan,nan,0.7853981852531433,0.007006817497313023,0.7853981852531433,0.009867352433502674,0.5,0.5
nan,nan,0.005988109391182661,0.005988109391182661,0.005988109391182661,0.005988109391182661,nan,nan,nan,nan,0.7853981852531433,0.006996950134634972,0.7853981852531433,0.010567047633230686,0.5,0.5
nan,nan,0.006784713827073574,0.006784713827073574,0.006784713827073574,0.006784713827073574,nan,nan,nan,nan,0.7853981852531433,0.006986383348703384,0.7853981852531433,0.01126568578183651,0.5,0.5
nan,nan,0.007630639709532261,0.007630639709532261,0.007630639709532261,0.007630639709532261,nan,nan,nan,nan,0.7853981852531433,0.006975117605179548,0.7853981852531433,0.011963197961449623,0.5,0.5
nan,nan,0.008525802753865719,0.008525802753865719,0.008525802753865719,0.008525802753865719,nan,nan,nan,nan,0.7853981852531433,0.006963154301047325,0.7853981852531433,0.012659513391554356,0.5,0.5
nan,nan,0.00947011262178421,0.00947011262178421,0.00947011262178421,0.00947011262178421,nan,nan,nan,nan,0.7853981852531433,0.006950494833290577,0.7853981852531433,0.013354563154280186,0.5,0.5
nan,nan,0.010463476181030273,0.010463476181030273,0.010463476181030273,0.010463476181030273,nan,nan,nan,nan,0.7853981852531433,0.006937140133231878,0.7853981852531433,0.014048277400434017,0.5,0.5
nan,nan,0.01150579284876585,0.01150579284876585,0.01150579284876585,0.01150579284876585,nan,nan,nan,nan,0.7853981852531433,0.006923092063516378,0.7853981852531433,0.014740586280822754,0.5,0.5
nan,nan,0.012596959248185158,0.012596959248185158,0.012596959248185158,0.012596959248185158,nan,nan,nan,nan,0.7853981852531433,0.006908351555466652,0.7853981852531433,0.015431421808898449,0.5,0.5
nan,nan,0.013736865483224392,0.013736865483224392,0.013736865483224392,0.013736865483224392,nan,nan,nan,nan,0.7853981852531433,0.006892920006066561,0.7853981852531433,0.01612071320414543,0.5,0.5
nan,nan,0.01492539793252945,0.01492539793252945,0.01492539793252945,0.01492539793252945,nan,nan,nan,nan,0.7853981852531433,0.006876799277961254,0.7853981852531433,0.016808392480015755,0.5,0.5
nan,nan,0.016162438318133354,0.016162438318133354,0.016162438318133354,0.016162438318133354,nan,nan,nan,nan,0.7853981852531433,0.006859990768134594,0.7853981852531433,0.01749439164996147,0.5,0.5
nan,nan,0.017447862774133682,0.017447862774133682,0.017447862774133682,0.017447862774133682,nan,nan,nan,nan,0.7853981852531433,0.0068424963392317295,0.7853981852531433,0.01817864179611206,0.5,0.5
nan,nan,0.018781542778015137,0.018781542778015137,0.018781542778015137,0.018781542778015137,nan,nan,nan,nan,0.7853981852531433,0.00682431785389781,0.7853981852531433,0.018861074000597,0.5,0.5
nan,nan,0.020163344219326973,0.020163344219326973,0.020163344219326973,0.020163344219326973,nan,nan,nan,nan,0.7853981852531433,0.006805456709116697,0.7853981852531433,0.01954161934554577,0.5,0.5
nan,nan,0.021593129262328148,0.021593129262328148,0.021593129262328148,0.021593129262328148,nan,nan,nan,nan,0.7853981852531433,0.006785915233194828,0.7853981852531433,0.020220210775732994,0.5,0.5
nan,nan,0.02307075448334217,0.02307075448334217,0.02307075448334217,0.02307075448334217,nan,nan,nan,nan,0.7853981852531433,0.006765694823116064,0.7853981852531433,0.020896779373288155,0.5,0.5
nan,nan,0.024596072733402252,0.024596072733402252,0.024596072733402252,0.024596072733402252,nan,nan,nan,nan,0.7853981852531433,0.006744798272848129,0.7853981852531433,0.021571259945631027,0.5,0.5
nan,nan,0.026168931275606155,0.026168931275606155,0.026168931275606155,0.026168931275606155,nan,nan,nan,nan,0.7853981852531433,0.0067232269793748856,0.7853981852531433,0.02224358171224594,0.5,0.5
nan,nan,0.027789173647761345,0.027789173647761345,0.027789173647761345,0.027789173647761345,nan,nan,nan,nan,0.7853981852531433,0.0067009832710027695,0.7853981852531433,0.022913679480552673,0.5,0.5
