est_x,est_y,odom_x,odom_y,gt_x,gt_y,cov_x,cov_y,cov_xy,cov_yx,heading_cmd,speed_cmd,heading,speed,setpoint_x,setpoint_y,gt_heading,gt_speed,collision,step,t_wall
nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,1,0.5969896070000686
nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,2,0.9121234759986692
nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,3,1.2266697679988283
nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,4,1.5145146649992967
nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,5,1.8419279479985562
nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,6,2.1299963370001933
nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,7,2.445570095000221
nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,8,2.7567605929998535
nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,9,3.0871294069984287
nan,nan,-2.417191780068606e-08,-4.806213837582618e-05,-2.417191780068606e-08,-4.806213837582618e-05,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,10,3.2820156439993298
nan,nan,-9.307403161074035e-06,-3.03164342767559e-05,-9.307403161074035e-06,-3.03164342767559e-05,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,11,3.5977623789985955
nan,nan,-9.307403161074035e-06,-3.03164342767559e-05,-9.307403161074035e-06,-3.03164342767559e-05,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,12,3.911963561999073
nan,nan,-3.15092402161099e-05,0.00015641255595255643,-3.15092402161099e-05,0.00015641255595255643,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,13,4.122756087999733
nan,nan,-7.021677447482944e-05,0.0004994236514903605,-7.021677447482944e-05,0.0004994236514903605,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,14,4.4519237379990955
nan,nan,-7.021677447482944e-05,0.0004994236514903605,-7.021677447482944e-05,0.0004994236514903605,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,15,4.7519812249993265
nan,nan,-7.021677447482944e-05,0.0004994236514903605,-7.021677447482944e-05,0.0004994236514903605,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,16,5.067052156999125
nan,nan,-7.021677447482944e-05,0.0004994236514903605,-7.021677447482944e-05,0.0004994236514903605,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,17,5.291848166998534
nan,nan,-1.62251089932397e-05,-0.00018592535343486816,-1.62251089932397e-05,-0.00018592535343486816,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,18,5.592269307999231
nan,nan,-0.0010713748633861542,0.019757667556405067,-0.0010713748633861542,0.019757667556405067,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,19,5.895793047999177
nan,nan,-0.0010713748633861542,0.019757667556405067,-0.0010713748633861542,0.019757667556405067,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,20,6.2077659019996645
nan,nan,-0.0008501749252900481,0.012081073597073555,-0.0008501749252900481,0.012081073597073555,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,21,6.5217028179995395
nan,nan,-0.001708771800622344,0.025798341259360313,-0.001708771800622344,0.025798341259360313,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,22,6.717140034999829
nan,nan,-0.00207722932100296,0.03658347949385643,-0.00207722932100296,0.03658347949385643,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,23,6.911912708999807
nan,nan,-0.0015920858131721616,0.03362506628036499,-0.0015920858131721616,0.03362506628036499,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,24,7.212255994998486
nan,nan,-0.0032257502898573875,0.06487852334976196,-0.0032257502898573875,0.06487852334976196,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,25,7.422025833999214
nan,nan,-0.006375312805175781,0.1344950646162033,-0.006375312805175781,0.1344950646162033,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,26,7.721624636998968
nan,nan,-0.006423648912459612,0.14213469624519348,-0.006423648912459612,0.14213469624519348,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,27,7.917147565998675
nan,nan,-0.007943821139633656,0.1675831526517868,-0.007943821139633656,0.1675831526517868,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,28,8.261923565998586
nan,nan,-0.010399906896054745,0.26092347502708435,-0.010399906896054745,0.26092347502708435,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,29,8.474744506998832
nan,nan,-0.01190083846449852,0.3465369641780853,-0.01190083846449852,0.3465369641780853,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,30,8.774694882999029
nan,nan,-0.012472128495573997,0.35199540853500366,-0.012472128495573997,0.35199540853500366,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,31,9.08864094799901
nan,nan,-0.011568110436201096,0.34803077578544617,-0.011568110436201096,0.34803077578544617,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,32,9.402757293999457
nan,nan,-0.010343017056584358,0.355796754360199,-0.010343017056584358,0.355796754360199,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,33,9.626823458998842
nan,nan,-0.008868368342518806,0.37318769097328186,-0.008868368342518806,0.37318769097328186,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,34,9.92694811399997
nan,nan,-0.017101725563406944,0.4114745557308197,-0.017101725563406944,0.4114745557308197,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,35,10.257945927998662
nan,nan,-0.012897666543722153,0.41276130080223083,-0.012897666543722153,0.41276130080223083,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,36,10.466844396998567
nan,nan,-0.010192885994911194,0.3829706907272339,-0.010192885994911194,0.3829706907272339,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,37,10.781918367998514
nan,nan,-0.013943798840045929,0.3935128152370453,-0.013943798840045929,0.3935128152370453,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,38,10.991930014999525
nan,nan,-0.019252564758062363,0.46179187297821045,-0.019252564758062363,0.46179187297821045,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,39,11.190191935998882
nan,nan,-0.015079883858561516,0.5173861980438232,-0.015079883858561516,0.5173861980438232,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,40,11.396984966999298
nan,nan,-0.00971243903040886,0.660487949848175,-0.00971243903040886,0.660487949848175,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,41,11.69680914699893
nan,nan,-0.013795634731650352,0.7417322397232056,-0.013795634731650352,0.7417322397232056,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,42,11.89179877099923
nan,nan,-0.024027572944760323,0.9104868173599243,-0.024027572944760323,0.9104868173599243,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,43,12.101556550000168
nan,nan,-0.026322973892092705,1.054685354232788,-0.026322973892092705,1.054685354232788,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,44,12.401574044999506
nan,nan,-0.023929493501782417,1.0789144039154053,-0.023929493501782417,1.0789144039154053,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,45,12.705145937999987
nan,nan,-0.024718426167964935,1.0779788494110107,-0.024718426167964935,1.0779788494110107,nan,nan,nan,nan,0.0,0.25,0.0,0.24705882370471954,0.800000011920929,0.800000011920929,0.0,0.24705882370471954,0.0,46,13.016750180999225
nan,nan,-0.024223502725362778,1.0816693305969238,-0.024223502725362778,1.0816693305969238,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0.0,0.0,47,13.211884477999774
nan,nan,-0.022395558655261993,1.0832420587539673,-0.022395558655261993,1.0832420587539673,nan,nan,nan,nan,0.20000000298023224,0.0,0.19198621809482574,0.0,0.800000011920929,0.800000011920929,0.19198621809482574,0.0,0.0,48,13.511941196999032
nan,nan,-0.023211443796753883,1.081847071647644,-0.023211443796753883,1.081847071647644,nan,nan,nan,nan,0.20000000298023224,0.0,0.19198621809482574,0.0,0.800000011920929,0.800000011920929,0.19198621809482574,0.0,0.0,49,13.811966466999365
nan,nan,-0.022811969742178917,1.082725167274475,-0.022811969742178917,1.082725167274475,nan,nan,nan,nan,0.4000000059604645,0.0,0.3839724361896515,0.0,0.800000011920929,0.800000011920929,0.3839724361896515,0.0,0.0,50,14.112089831998674
nan,nan,-0.022990822792053223,1.082944393157959,-0.022990822792053223,1.082944393157959,nan,nan,nan,nan,0.6000000238418579,0.25,0.593411922454834,0.24705882370471954,0.800000011920929,0.800000011920929,0.593411922454834,0.24705882370471954,0.0,51,14.426994335999552
nan,nan,-0.02671278826892376,1.079759955406189,-0.02671278826892376,1.079759955406189,nan,nan,nan,nan,0.800000011920929,0.0,0.7853981852531433,0.0,0.800000011920929,0.800000011920929,0.7853981852531433,0.0,0.0,52,14.607110548999117
nan,nan,-0.025627953931689262,1.0998684167861938,-0.025627953931689262,1.0998684167861938,nan,nan,nan,nan,0.800000011920929,0.0,0.7853981852531433,0.0,0.800000011920929,0.800000011920929,0.7853981852531433,0.0,0.0,53,14.937074475999907
nan,nan,-0.020508423447608948,1.0953515768051147,-0.020508423447608948,1.0953515768051147,nan,nan,nan,nan,1.0,0.25,0.9948377013206482,0.24705882370471954,0.800000011920929,0.800000011920929,0.9948377013206482,0.24705882370471954,0.0,54,15.252196039999035
nan,nan,-0.03411020711064339,1.0802044868469238,-0.03411020711064339,1.0802044868469238,nan,nan,nan,nan,1.2000000476837158,0.25,1.186823844909668,0.24705882370471954,0.800000011920929,0.800000011920929,1.186823844909668,0.24705882370471954,0.0,55,15.462213197999517
nan,nan,-0.03311021253466606,1.0994106531143188,-0.03311021253466606,1.0994106531143188,nan,nan,nan,nan,1.399999976158142,0.25,1.3962633609771729,0.24705882370471954,0.800000011920929,0.800000011920929,1.3962633609771729,0.24705882370471954,0.0,56,15.686685040000157
nan,nan,0.016857605427503586,1.1550778150558472,0.016857605427503586,1.1550778150558472,nan,nan,nan,nan,1.399999976158142,0.0,1.3962633609771729,0.0,0.800000011920929,0.800000011920929,1.3962633609771729,0.0,0.0,57,15.971959208998669
nan,nan,0.10662300139665604,1.1401770114898682,0.10662300139665604,1.1401770114898682,nan,nan,nan,nan,1.600000023841858,0.0,1.5882495641708374,0.0,0.800000011920929,0.800000011920929,1.5882495641708374,0.0,0.0,58,16.271993286998622
nan,nan,0.1300186961889267,1.124083161354065,0.1300186961889267,1.124083161354065,nan,nan,nan,nan,1.7999999523162842,0.25,1.7976890802383423,0.24705882370471954,0.800000011920929,0.800000011920929,1.7976890802383423,0.24705882370471954,0.0,59,16.57198874200003
nan,nan,0.12415657937526703,1.1409002542495728,0.12415657937526703,1.1409002542495728,nan,nan,nan,nan,1.7999999523162842,0.0,1.7976890802383423,0.0,0.800000011920929,0.800000011920929,1.7976890802383423,0.0,0.0,60,16.887124983999456
nan,nan,0.1342460960149765,1.1280230283737183,0.1342460960149765,1.1280230283737183,nan,nan,nan,nan,2.0,0.0,1.9896754026412964,0.0,0.800000011920929,0.800000011920929,1.9896754026412964,0.0,0.0,61,17.187352406999707
nan,nan,0.14110329747200012,1.1300617456436157,0.14110329747200012,1.1300617456436157,nan,nan,nan,nan,2.200000047683716,0.0,2.1991147994995117,0.0,0.800000011920929,0.800000011920929,2.1991147994995117,0.0,0.0,62,17.486859231999915
nan,nan,0.13076433539390564,1.1377240419387817,0.13076433539390564,1.1377240419387817,nan,nan,nan,nan,2.4000000953674316,0.25,2.391101121902466,0.24705882370471954,0.800000011920929,0.800000011920929,2.391101121902466,0.24705882370471954,0.0,63,17.7879540799986
